time,latitude,longitude,depth,mag,place
2023-06-13 20:50:56.444000+00:00,33.0446,75.948,14.274,4.6,"22 km ENE of Bhadarwāh, India"
2023-06-13 08:03:40.348000+00:00,33.1191,75.9074,10.0,5.2,"23 km NE of Bhadarwāh, India"
2023-06-12 21:23:08.724000+00:00,26.1093,95.2775,77.469,4.3,"48 km ESE of Tuensang, India"
2023-06-05 02:09:45.778000+00:00,12.8765,95.4751,10.0,4.6,"Andaman Islands, India region"
2023-06-01 03:30:53.257000+00:00,26.0736,95.1588,31.912,4.2,"39 km ESE of Tuensang, India"
2023-05-29 02:33:31.480000+00:00,26.7587,92.4485,10.0,4.9,"6 km NNW of Dhekiajuli, India"
2023-05-29 02:18:17.682000+00:00,13.407,94.1485,10.0,4.6,"244 km NE of Bamboo Flat, India"
2023-05-27 21:36:33.057000+00:00,27.0688,92.6797,10.0,4.5,"25 km N of Rangāpāra, India"
2023-05-22 02:45:35.828000+00:00,26.8674,97.023,10.0,5.0,"76 km NNE of Sarupathar, India"
2023-05-21 13:47:32.910000+00:00,24.8062,94.7301,83.027,4.1,Myanmar-India border region
2023-05-14 21:43:49.463000+00:00,9.7587,93.5283,9.846,4.0,"227 km SSE of Port Blair, India"
2023-05-11 20:44:56.551000+00:00,21.6539,93.1376,51.123,4.5,"94 km S of Saiha, India"
2023-05-09 13:42:18.282000+00:00,10.972,92.0333,10.0,5.1,"109 km SW of Port Blair, India"
2023-05-08 08:58:12.854000+00:00,33.9253,75.0264,10.0,3.8,"1 km ENE of Awantipur, India"
2023-05-04 04:20:30.480000+00:00,30.5173,79.0377,27.66,4.2,"Uttaranchal, India"
2023-05-03 23:48:53.606000+00:00,27.3244,97.0318,10.0,4.6,"95 km SSE of Hayuliang, India"
2023-04-24 10:58:31.943000+00:00,9.3625,93.8685,10.0,5.0,"Nicobar Islands, India region"
2023-04-13 03:21:19.466000+00:00,8.9297,93.8956,10.0,4.9,"Nicobar Islands, India region"
2023-04-12 00:05:08.100000+00:00,26.0018,87.3828,10.0,4.0,Nepal-India border region
2023-04-11 02:08:29.426000+00:00,9.1853,93.979,10.0,4.5,"Nicobar Islands, India region"
2023-04-10 17:12:17.347000+00:00,8.9365,93.6767,9.968,4.9,"Nicobar Islands, India region"
2023-04-10 17:11:50.820000+00:00,9.0663,93.9297,13.852,4.8,"Nicobar Islands, India region"
2023-04-10 16:47:16.451000+00:00,8.897,93.7742,9.626,4.3,"Nicobar Islands, India region"
2023-04-10 11:21:22.777000+00:00,8.9611,93.7674,10.028,4.5,"Nicobar Islands, India region"
2023-04-10 00:54:56.108000+00:00,9.1564,93.8198,10.0,4.6,"Nicobar Islands, India region"
2023-04-10 00:51:40.435000+00:00,8.9215,93.5922,10.0,4.2,"Nicobar Islands, India region"
2023-04-09 23:55:02.324000+00:00,8.9923,93.8476,10.0,4.1,"Nicobar Islands, India region"
2023-04-09 21:07:10.709000+00:00,8.5816,93.9431,10.0,4.2,"Nicobar Islands, India region"
2023-04-09 21:00:08.812000+00:00,9.3723,93.8096,10.0,4.1,"279 km SSE of Port Blair, India"
2023-04-09 20:55:58.001000+00:00,9.0116,93.9224,10.0,5.2,"Nicobar Islands, India region"
2023-04-09 19:37:44.546000+00:00,13.2395,93.1777,43.596,4.3,"Andaman Islands, India region"
2023-04-09 12:47:52.279000+00:00,8.9466,93.9623,10.41,4.4,"Nicobar Islands, India region"
2023-04-09 12:27:39.153000+00:00,8.9733,93.8322,10.0,4.3,"Nicobar Islands, India region"
2023-04-09 12:24:01.576000+00:00,9.1656,94.1407,10.0,4.2,"Nicobar Islands, India region"
2023-04-09 12:17:33.607000+00:00,8.966,93.9695,10.0,5.7,"Nicobar Islands, India region"
